,VARIETY,...1,Nr.,Abbr..x,Exp..x,Maturity,Mother,Father,COUNTRY.x,Year,Source,heat-sensitivity_combi_HI_starch,Identifier,Sample name,Nr,Stärke % verfügbar,Lfd. #,FAU_Nr,Abbr..y,BREEDER/ Origin,REMARK/ GLKS/ LFL,Maturity/ purpose,parent_genotyped
87,EVORA,97,185,EV,Exp_04,NA,LEE 92-196,VALOR,NLD,2011,NA,medium-sensitiv,P2-C11-185-EV,185-EV,185,ja,NA,NA,NA,NA,NA,NA,FALSE
88,F13/21428,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-E08-375-F28-2,375-F28-2,NA,NA,GBS2_61,375,F28,Saatzucht Firlbeck,Mpr Stärke 2020,NA,FALSE
89,F14/11710,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-F08-378-F10-2,378-F10-2,NA,NA,GBS2_62,378,F10,Saatzucht Firlbeck,Mpr Stärke 2020,NA,FALSE
90,F14/6933,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-G08-380-F33-2,380-F33-2,NA,NA,GBS2_63,380,F33,Saatzucht Firlbeck,Mpr Stärke 2020,NA,FALSE
91,F14/7074,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-H08-381-F74-2,381-F74-2,NA,NA,GBS2_64,381,F74,Saatzucht Firlbeck,Mpr Stärke 2020,NA,FALSE
92,F15/3121,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-A09-383-F21-2,383-F21-2,NA,NA,GBS2_65,383,F21,Saatzucht Firlbeck,Mpr Stärke 2020,NA,FALSE
93,F15/6576,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-B09-391-F76-2,391-F76-2,NA,NA,GBS2_66,391,F76,Saatzucht Firlbeck,Mpr Stärke 2020,NA,FALSE
94,F15560,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-C09-392-F60-2,392-F60-2,NA,NA,GBS2_67,392,F60,Saatzucht Firlbeck,Mpr Stärke 2020,NA,FALSE
95,FABULA,105,44,FU,Exp_03,6,MONALISA,HUDSON,NLD,1997,NA,medium,P1-D06-044-FU,044-FU,44,ja,NA,NA,NA,NA,NA,NA,TRUE
96,FARIDA,106,186,FA,Exp_06,NA,RZ 91-2313,VDW 87-36,NLD,2015,NA,(sensitiv),P2-D11-186-FA,186-FA,186,nein,NA,NA,NA,NA,NA,NA,FALSE
97,FAUSTA,107,116,FS,Exp_03,5,SOMMERSTARK E,W 8102/214,GER,1975,NA,medium-sensitiv,P2-D03-116-FS,116-FS,116,ja,NA,NA,NA,NA,NA,NA,FALSE
98,FELSINA,108,46,FE,Exp_01,6,MORENE,GLORIA,NLD,1992,NA,medium-tolerant,P1-F06-046-FE,046-FE,46,ja,NA,NA,NA,NA,NA,NA,FALSE
99,FICHTEGOLD,109,117,FG,Exp_07,4,((ZWICKAUER FRUHE x JUBEL) x KLARA),MITTELFRUHE,GER,1946,NA,medium-sensitiv,P2-E03-117-FG,117-FG,117,nein,NA,NA,NA,NA,NA,NA,FALSE
100,FINK,110,118,FK,Exp_03,5,AQUILA,(VORAN x MITTELFRUHE),GER,1956,NA,medium,P2-F03-118-FK,118-FK,118,ja,NA,NA,NA,NA,NA,NA,FALSE
101,FIONIA,111,119,FI,Exp_07,6,R 4201,47/1345,POL,1968,NA,medium-sensitiv,P2-G03-119-FI,119-FI,119,nein,NA,NA,NA,NA,NA,NA,FALSE
102,FLAMENCO,112,47,FL,Exp_03,4,RED SCARLETT,RED CLOUD,NLD,2013,NA,medium-sensitiv,P1-G06-047-FL,047-FL,47,ja,NA,NA,NA,NA,NA,NA,FALSE
103,FONTANE,113,48,FN,Exp_03,7,AGRIA,AR 76 34 3,NLD,1999,NA,medium,P1-H06-048-FN,048-FN,48,ja,NA,NA,NA,NA,NA,NA,TRUE
104,FORTUS,114,187,FO,Exp_06,NA,VOYAGER,RZ 95-6066,NLD,2015,NA,(sensitiv),P2-E11-187-FO,187-FO,187,nein,NA,NA,NA,NA,NA,NA,TRUE
105,FRINGILLA,115,121,FGI,Exp_03,4,FELDESLOHN,SITTA,GER,1977,NA,medium-tolerant,P2-H03-121-FGI,121-FGI,121,ja,NA,NA,NA,NA,NA,NA,FALSE
106,FRÜHBOTE,116,122,FB,Exp_07,7,JULI,SONNENRAGIS,GER,1935,NA,medium-tolerant,P2-A04-122-FB,122-FB,122,nein,NA,NA,NA,NA,NA,NA,FALSE
107,GALA,117,NA,NA,NA,NA,2.6 720-86,LEYLA,GER,2002,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-A02-245-GA-2,245-GA-2,NA,NA,GBS2_09,245,GA,NA,LSV 207 Weih,mfr,FALSE
108,GLORIETTA,118,50,GL,Exp_03,8,ALLIANS,VALETTA,GER,NA,NA,medium,P1-B07-050-GL,050-GL,50,ja,NA,NA,NA,NA,NA,NA,TRUE
109,GOLDMARIE,119,NA,NA,NA,NA,ANDANTE,AGILA,GER,NA,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-B02-246-GM-2,246-GM-2,NA,NA,GBS2_10,246,GM,NA,LSV 202 Weih,fr,FALSE
110,GREAT  SCOT,120,123,GS,Exp_07,5,IMPERATOR,CHAMPION,GBR,1909,NA,medium-sensitiv,P2-B04-123-GS,123-GS,123,nein,NA,NA,NA,NA,NA,NA,FALSE
111,GWENNE,121,51,GW,Exp_01,7,INRA 94T97.43,G93TT296006,FRA,2011,NA,medium,P1-C07-051-GW,051-GW,51,ja,NA,NA,NA,NA,NA,NA,FALSE
112,HANSA,122,52,HA,Exp_03,7,OBERARNB.FRUHE,FLAVA,GER,1957,NA,medium,P1-D07-052-HA,052-HA,52,ja,NA,NA,NA,NA,NA,NA,FALSE
113,HEIDENIERE,123,124,HN,Exp_04,5,unknown,NA,GER,1953,NA,(sensitiv),P2-C04-124-HN,124-HN,124,nein,NA,NA,NA,NA,NA,NA,FALSE
114,HERACLEA,124,53,HE,Exp_03,7,MARKIES,RZ- 94-1538,NLD,2015,NA,medium,P1-E07-053-HE,053-HE,53,ja,NA,NA,NA,NA,NA,NA,TRUE
115,HERMES,125,54,HR,Exp_03,7,DDR 5158,SW 163/55,AUT,NA,NA,medium-sensitiv,P1-F07-054-HR,054-HR,54,ja,NA,NA,NA,NA,NA,NA,FALSE
116,HERMOSA,126,55,HM,Exp_01,6,MONDIAL,CARRERA,NLD,2017,NA,(sensitiv),P1-G07-055-HM,055-HM,55,nein,NA,NA,NA,NA,NA,NA,TRUE
117,HYVA,127,125,HY,Exp_07,5,NA,NA,FRA,1949,NA,medium,P2-D04-125-HY,125-HY,125,nein,NA,NA,NA,NA,NA,NA,FALSE
118,IDEAAL,128,126,ID,Exp_07,7,EPICURE,JAUNE D'OR,NLD,1917,NA,medium,P2-E04-126-ID,126-ID,126,nein,NA,NA,NA,NA,NA,NA,FALSE
119,INCA SUN,129,56,IS,Exp_01,9,SCRI 81568,SCRI 71746 PHU,GBR,2001,NA,medium,P1-H07-056-IS,056-IS,56,ja,NA,NA,NA,NA,NA,NA,FALSE
120,INNOVATOR,130,57,IN,Exp_03,6,SHEPODY,RZ- 84-2580,NLD,1999,NA,medium,P1-A08-057-IN,057-IN,57,ja,NA,NA,NA,NA,NA,NA,FALSE
121,ISKRA,131,127,IK,Exp_07,4,(DOON EARLY x PHYTOPHTHOROUSTOITSCHIVY),ROON,RUS,1965,NA,medium,P2-F04-127-IK,127-IK,127,nein,NA,NA,NA,NA,NA,NA,FALSE
122,IVORY RUSSET,132,58,IR,Exp_03,4,RZ- 93-7105,INNOVATOR,NLD,2011,NA,medium,P1-B08-058-IR,058-IR,58,ja,NA,NA,NA,NA,NA,NA,TRUE
123,JANA,133,128,JA,Exp_07,5,BEA,FRUHMOLLE,SVN,1973,NA,(sensitiv),P2-G04-128-JA,128-JA,128,nein,NA,NA,NA,NA,NA,NA,FALSE
124,JAZZY,134,59,JZ,Exp_01,6,FRANCELINE,CUPIDO,NLD,2010,NA,(medium),P1-C08-059-JZ,059-JZ,59,ja,NA,NA,NA,NA,NA,NA,FALSE
125,JELLY,135,NA,NA,NA,NA,MARABEL,L 173/92/921,GER,2002,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-C02-250-JE-2,250-JE-2,NA,NA,GBS2_11,250,JE,NA,LSV 207 Weih,mfr,TRUE
126,JOLY,136,60,JO,Exp_03,4,SIFRA,VIRGO,NLD,2017,NA,medium,P1-D08-060-JO,060-JO,60,ja,NA,NA,NA,NA,NA,NA,TRUE
127,JUBILAT,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-F07-364-JUB-2,364-JUB-2,NA,NA,GBS2_54,364,JUB,Solana,NA,NA,FALSE
128,JUWEL,138,NA,NA,NA,NA,BS 857/58,FLORA,GER,2004,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-A06-343-JUW-2,343-JUW-2,NA,NA,GBS2_41,343,JUW,Bavaria Saat,NA,sehr frühe Speisesorte,FALSE
129,KAMYK,139,129,KA,Exp_04,4,ORLIK,APOLLO,CZE,1974,NA,sensitiv,P2-H04-129-KA,129-KA,129,ja,NA,NA,NA,NA,NA,NA,FALSE
130,KARELIA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-D02-256-KAR-2,256-KAR-2,NA,NA,GBS2_12,256,KAR,NA,LSV 207 Weih,mfr,FALSE
131,KEDVENC,141,130,KD,Exp_07,5,ARANYALMA,27,HUN,1968,NA,sensitiv,P2-A05-130-KD,130-KD,130,nein,NA,NA,NA,NA,NA,NA,FALSE
132,KEMENYITÖ KIRALY,142,132,KK,Exp_07,4,NA,NA,HUN,1939,NA,(sensitiv),P2-B05-132-KK,132-KK,132,nein,NA,NA,NA,NA,NA,NA,FALSE
133,KENNEBEC,143,62,KE,Exp_03,4,USDA B 127,USDA   96  56,USA,1948,NA,medium-tolerant,P1-F08-062-KE,062-KE,62,ja,NA,NA,NA,NA,NA,NA,FALSE
134,KING GEORGE V,144,133,KG,Exp_07,5,unknown,NA,GBR,1911,NA,(sensitiv),P2-C05-133-KG,133-KG,133,nein,NA,NA,NA,NA,NA,NA,FALSE
135,KONDOR,145,188,KO,Exp_06,NA,KONST 61-333,WILJA,NLD,1984,NA,(sensitiv),P2-F11-188-KO,188-KO,188,nein,NA,NA,NA,NA,NA,NA,FALSE
136,KONSUM,146,134,KN,Exp_07,5,DEUTSCHLAND,PROFESSOR GISEVIUS,GER,1929,NA,(sensitiv),P2-D05-134-KN,134-KN,134,nein,NA,NA,NA,NA,NA,NA,FALSE
137,KORETTA,147,135,KR,Exp_04,5,1-67.254/13 N,ADRETTA,GER,1984,NA,medium-sensitiv,P2-E05-135-KR,135-KR,135,ja,NA,NA,NA,NA,NA,NA,FALSE
138,KRASAVA,148,136,KS,Exp_07,5,VISNOVSKE ROHLICKY,B 53,CZE,1940,NA,(sensitiv),P2-F05-136-KS,136-KS,136,nein,NA,NA,NA,NA,NA,NA,FALSE
139,KRONE,149,NA,NA,NA,NA,BS 3/82,QUINTA,GER,2002,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-E05-337-KRO-2,337-KRO-2,NA,NA,GBS2_37,337,KRO,Bavaria Saat,NA,mittelfrühe Speissorte,FALSE
140,KUBA,150,NA,NA,NA,NA,BZURA,KARLENA,POL,1999,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-E02-258-KUB-2,258-KUB-2,NA,NA,GBS2_13,258,KUB,Niehoff,LSV 211 Weih,Stärke,FALSE
141,KURAS,151,NA,NA,NA,NA,BRDA,VK 69-491,NLD,1996,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-F02-259-KUR-2,259-KUR-2,NA,NA,GBS2_14,259,KUR,Europlant,LSV 211 Weih,Stärke,FALSE
142,KURODA,152,63,KU,Exp_01,6,AR 76 199 3,KONST 80-1407,NLD,1998,NA,(sensitiv),P1-G08-063-KU,063-KU,63,nein,NA,NA,NA,NA,NA,NA,FALSE
143,LA VIE,153,64,LV,Exp_01,8,VDZ 99- 276,ANNABELLE,NLD,2019,NA,tolerant,P1-H08-064-LV,064-LV,64,ja,NA,NA,NA,NA,NA,NA,TRUE
144,LADY CLAIRE,154,189,LC,Exp_06,NA,AGRIA,KW 78-34-470,NLD,1996,NA,medium,P2-G11-189-LC,189-LC,189,nein,NA,NA,NA,NA,NA,NA,TRUE
145,LADY ROSETTA,155,190,LR,Exp_04,NA,CARDINAL,VTN 62-33-3,NLD,1988,NA,medium-tolerant,P2-H11-190-LR,190-LR,190,ja,NA,NA,NA,NA,NA,NA,FALSE
146,LANDSORTE P94/077,156,137,L77,Exp_04,4,NA,NA,ROM,NA,NA,sensitiv,P2-G05-137-L77,137-L77,137,ja,NA,NA,NA,NA,NA,NA,FALSE
147,LANDSORTE P94/197,157,138,L197,Exp_06,4,NA,NA,ROM,NA,NA,medium,P2-H05-138-L197,138-L197,138,nein,NA,NA,NA,NA,NA,NA,FALSE
148,LINDA,158,180,LD,Exp_06,NA,HANSA,CLIVIA,BRD,1974,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,medium,P2-F10-180-LD,180-LD,180,nein,NA,NA,NA,NA,NA,NA,TRUE
149,LINZER SPEISE,159,139,LS,Exp_07,5,GOLDSEGEN,EVA,AUT,1970,NA,medium-tolerant,P2-A06-139-LS,139-LS,139,nein,NA,NA,NA,NA,NA,NA,FALSE
150,LIPSI,160,197,LP,Exp_04,5,4-65.64/48 N,4-65.64/48 N x 2-67.387,GER,1984,NA,medium-sensitiv,P2-E12-197-LP,197-LP,197,ja,NA,NA,NA,NA,NA,NA,FALSE
151,LISETA,161,191,LI,Exp_06,NA,SPUNTA,VE 66-295,NLD,1988,NA,(sensitiv),P1-B09-066-LI,066-LI,66,ja,NA,NA,NA,NA,NA,NA,TRUE
152,LIU,162,140,Liu,Exp_07,5,2-70.4154 N,1-65.751/132 N,LIU,1988,NA,medium,P2-B06-140-Liu,140-Liu,140,nein,NA,NA,NA,NA,NA,NA,FALSE
153,MANITOU,163,67,MU,Exp_02,7,LAURA,MARANCA,NLD,2008,NA,medium-tolerant,P1-C09-067-MU,067-MU,67,ja,NA,NA,NA,NA,NA,NA,FALSE
154,MARABEL,164,68,MR,Exp_02,7,NENA,MA 75 364,GER,NA,NA,medium-sensitiv,P1-D09-068-MR,068-MR,68,ja,NA,NA,NA,NA,NA,NA,FALSE
155,MARIS PIPER,165,69,MP,Exp_02,5,Y 22 6,ARCAIRN*HERALD,GBR,1963,NA,tolerant,P1-E09-069-MP,069-MP,69,ja,NA,NA,NA,NA,NA,NA,FALSE
156,MARKIES,166,70,MK,Exp_03,7,FIANNA,AGRIA,NLD,1997,NA,medium-tolerant,P1-F09-070-MK,070-MK,70,ja,NA,NA,NA,NA,NA,NA,TRUE
157,MARTA,167,141,MA,Exp_07,5,B 53,ADMIRAL,CZE,1944,NA,sensitiv,P01-D10-141-MA-2,141-MA-2,NA,NA,GBS2_76,141,MA,IPK Genbank,HOTNet,NA,FALSE
158,MAXI,168,NA,NA,NA,NA,SIBU,2899/9,GER,2004,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-G02-279-MAX-2,279-MAX-2,NA,NA,GBS2_15,279,MAX,Saatzucht Firlbeck,LSV 211 Weih,Stärke,FALSE
159,MAXILLA,169,NA,NA,NA,NA,MA. 62.34/21,LU. 62.356/11,GER,1981,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-G07-366-MAL-2,366-MAL-2,NA,NA,GBS2_55,366,MAL,Norika,NA,NA,FALSE
160,MAYAN GOLD,170,71,MG,Exp_02,8,SCRI DB270 43,SCRI DB220 52,GBR,2001,NA,medium,P1-G09-071-MG,071-MG,71,ja,NA,NA,NA,NA,NA,NA,FALSE
161,MAYAN TWILIGHT,171,72,MT,Exp_02,8,SCRI DB270 43,SCRI DB272 52,GBR,2008,NA,medium-tolerant,P1-H09-072-MT,072-MT,72,ja,NA,NA,NA,NA,NA,NA,FALSE
162,MC INTOSH,172,142,MI,Exp_04,5,HERALD,phu,GBR,1944,NA,sensitiv,P2-C06-142-MI,142-MI,142,ja,NA,NA,NA,NA,NA,NA,FALSE
163,MEISE,173,143,ME,Exp_04,5,AQUILA,FLAVA,GER,1956,NA,sensitiv,P2-D06-143-ME,143-ME,143,ja,NA,NA,NA,NA,NA,NA,FALSE
164,MELODY,174,NA,NA,NA,NA,VE 74-45,W 72-22-496,NLD,2001,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-H02-281-MEL-2,281-MEL-2,NA,NA,GBS2_16,281,MEL,NA,LSV 207 Weih,mfr,FALSE
165,MEMPHIS,175,73,MM,Exp_03,6,MUH 92-  13,MUH 91-  13,NLD,2012,NA,medium,P1-A10-073-MM,073-MM,73,ja,NA,NA,NA,NA,NA,NA,FALSE
166,MOGLI,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-D08-374-MOG-2,374-MOG-2,NA,NA,GBS2_60,374,MOG,Saatzucht Firlbeck,NA,NA,FALSE
167,MONALISA,177,74,ML,Exp_02,7,BIERMA A1 287,COLMO,NLD,1982,NA,medium,P1-B10-074-ML,074-ML,74,ja,NA,NA,NA,NA,NA,NA,FALSE
168,MONDIAL,178,176,MO,Exp_04,NA,SPUNTA,VE 66-295,NLD,1987,NA,-,P2-B10-176-MO,176-MO,176,nein,NA,NA,NA,NA,NA,NA,TRUE
169,MORITZ,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-A03-283-MOR-2,283-MOR-2,NA,NA,GBS2_17,283,MOR,Saatzucht Firlbeck,LSV 211 Weih,Stärke,FALSE
170,MOZART,180,75,MZ,Exp_02,7,REDSTAR,CAESAR,NLD,2003,NA,tolerant,P1-C10-075-MZ,075-MZ,75,ja,NA,NA,NA,NA,NA,NA,TRUE
171,MUSICA,181,NA,NA,NA,NA,CMK 93-042-005,LADY CHRISTL,NLD,2007,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php,NA,P01-D09-393-MUS-2,393-MUS-2,NA,NA,GBS2_68,393,MUS,C. Meijer B.V.,ADAPT-set,NA,FALSE
172,NEDERLANDER,182,144,NE,Exp_04,4,BREEDBLAD EERSTELING,BERLIKUMER GEELTJE,NLD,1940,NA,medium-sensitiv,P2-E06-144-NE,144-NE,144,ja,NA,NA,NA,NA,NA,NA,FALSE
173,NICOLA,183,145,NI,Exp_04,5,CLIVIA,6430/1011,GER,1973,NA,medium-sensitiv,P2-F06-145-NI,145-NI,145,ja,NA,NA,NA,NA,NA,NA,FALSE
